x,y,z,h,lon,lat,keep
-440.7,-729.9,852.7456999999997,2.0,-97.50506456673841,38.493434712074226,0
-440.5,-729.9,852.7861666666663,2.0,-97.50506226831921,38.493434712173176,0
-440.3,-729.9,852.8266333333331,2.0,-97.50505996989999,38.493434712272105,0
-440.1,-729.9,852.8670999999997,2.0,-97.50505767148077,38.493434712370984,0
-439.9,-729.9,852.9075666666663,2.0,-97.50505537306158,38.493434712469835,0
-439.7,-729.9,852.9480333333331,2.0,-97.50505307464236,38.49343471256861,0
-439.5,-729.9,852.9884999999997,2.0,-97.50505077622316,38.49343471266736,0
-439.3,-729.9,853.0289666666664,2.0,-97.50504847780394,38.49343471276603,0
-439.1,-729.9,853.0694333333331,2.0,-97.50504617938472,38.49343471286468,0
-438.9,-729.9,853.1098999999997,2.0,-97.50504388096553,38.49343471296328,0
-438.7,-729.9,853.1503666666663,2.0,-97.50504158254631,38.49343471306187,0
-438.5,-729.9,853.6534738777975,2.0,-97.50503928412711,38.49343471316037,1
-438.3,-729.9,854.6972843266784,2.0,-97.50503698570789,38.49343471325884,0
-438.1,-729.9,855.7410947755594,2.0,-97.50503468728868,38.49343471335728,0
-437.9,-729.9,856.3119444041101,2.0,-97.50503238886948,38.493434713455656,0
-437.7,-729.9,856.4098332123297,2.0,-97.50503009045026,38.493434713553995,0
-437.5,-729.9,856.5077220205493,2.0,-97.50502779203106,38.493434713652285,0
-437.3,-729.9,856.6056108287692,2.0,-97.50502549361184,38.49343471375053,0
-437.1,-729.9,856.7034996369888,2.0,-97.50502319519263,38.49343471384872,0
-436.9,-729.9,856.8013884452084,2.0,-97.50502089677343,38.49343471394688,0
-436.7,-729.9,856.899277253428,2.0,-97.50501859835421,38.493434714044994,0
-436.5,-729.9,856.9971660616477,2.0,-97.50501629993501,38.493434714143056,0
-436.3,-729.9,856.9099666666667,2.0,-97.50501400151579,38.49343471424107,0
-436.1,-729.9,856.5484333333335,2.0,-97.5050117030966,38.49343471433906,0
-435.9,-729.9,856.1869,2.0,-97.50500940467738,38.493434714436994,0
-435.7,-729.9,855.8253666666668,2.0,-97.50500710625816,38.49343471453488,0
-435.5,-729.9,855.4638333333334,2.0,-97.50500480783896,38.49343471463271,0
-435.3,-729.9,855.1023000000001,2.0,-97.50500250941974,38.49343471473052,0
-435.1,-729.9,854.7407666666668,2.0,-97.50500021100055,38.493434714828275,0
-434.9,-729.9,854.3792333333334,2.0,-97.50499791258133,38.49343471492598,0
-434.7,-729.9,854.0177000000001,2.0,-97.50499561416213,38.49343471502364,0
-434.5,-729.9,853.6561666666669,2.0,-97.50499331574291,38.493434715121246,0
-434.3,-729.9,853.2946333333335,2.0,-97.5049910173237,38.493434715218825,0
-434.1,-729.9,852.9331000000002,2.0,-97.5049887189045,38.493434715316376,0
-433.9,-729.9,852.5715666666669,2.0,-97.50498642048528,38.493434715413834,0
-433.7,-729.9,852.2100333333335,2.0,-97.50498412206608,38.493434715511285,0
-433.5,-729.9,851.8485000000001,2.0,-97.50498182364686,38.493434715608686,0
-433.3,-729.9,851.4869666666668,2.0,-97.50497952522765,38.49343471570601,0
-433.1,-729.9,851.1254333333336,2.0,-97.50497722680845,38.49343471580333,0
-432.9,-729.9,850.7639000000001,2.0,-97.50497492838923,38.493434715900605,0
-432.7,-729.9,850.4023666666669,2.0,-97.50497262997003,38.49343471599781,0
-432.5,-729.9,850.0408333333336,2.0,-97.50497033155081,38.49343471609498,0
-432.3,-729.9,849.6793000000002,2.0,-97.5049680331316,38.49343471619208,0
-432.1,-729.9,849.3177666666669,2.0,-97.5049657347124,38.49343471628917,0
-431.9,-729.9,848.9424814403445,2.0,-97.50496343629318,38.49343471638622,0
-431.7,-729.9,848.5396896168726,2.0,-97.50496113787398,38.49343471648321,0
-431.5,-729.9,848.1368977934004,2.0,-97.50495883945476,38.493434716580154,0
-431.3,-729.9,847.7341059699285,2.0,-97.50495654103555,38.493434716677044,0
-431.1,-729.9,847.3313141464565,2.0,-97.50495424261635,38.49343471677391,0
-440.7,-729.7,852.3544333333332,2.0,-97.50506456686487,38.493436510999764,0
-440.5,-729.7,852.4118333333331,2.0,-97.50506226844561,38.49343651109875,0
-440.3,-729.7,852.4692333333332,2.0,-97.50505997002635,38.49343651119765,0
-440.1,-729.7,852.5266333333332,2.0,-97.50505767160708,38.49343651129655,0
-439.9,-729.7,852.5840333333331,2.0,-97.50505537318782,38.49343651139535,0
-439.7,-729.7,852.6414333333332,2.0,-97.50505307476855,38.49343651149415,0
-439.5,-729.7,852.6988333333333,2.0,-97.50505077634928,38.493436511592904,0
-439.3,-729.7,852.7562333333332,2.0,-97.50504847793002,38.49343651169158,0
-439.1,-729.7,852.8136333333332,2.0,-97.50504617951074,38.49343651179025,0
-438.9,-729.7,852.8710333333331,2.0,-97.50504388109148,38.493436511888845,0
-438.7,-729.7,852.928433333333,2.0,-97.5050415826722,38.49343651198739,1
-438.5,-729.7,853.3563921627881,2.0,-97.50503928425294,38.49343651208594,1
-438.3,-729.7,854.2174352976729,2.0,-97.50503698583368,38.49343651218441,1
-438.1,-729.7,855.0784784325579,2.0,-97.50503468741441,38.49343651228283,1
-437.9,-729.7,855.586047268241,2.0,-97.50503238899515,38.493436512381194,1
-437.7,-729.7,855.7401418047222,2.0,-97.50503009057589,38.49343651247954,1
-437.5,-729.7,855.8942363412032,2.0,-97.50502779215661,38.49343651257783,0
-437.3,-729.7,856.0483308776844,2.0,-97.50502549373735,38.49343651267607,0
-437.1,-729.7,856.2024254141654,2.0,-97.50502319531809,38.49343651277426,0
-436.9,-729.7,856.3565199506465,2.0,-97.5050208968988,38.49343651287243,0
-436.7,-729.7,856.5106144871274,2.0,-97.50501859847954,38.49343651297057,0
-436.5,-729.7,856.6647090236086,2.0,-97.50501630006028,38.49343651306863,0
-436.3,-729.7,856.6187888888891,2.0,-97.505014001641,38.49343651316664,0
-436.1,-729.7,856.2764111111113,2.0,-97.50501170322174,38.493436513264605,0
-435.9,-729.7,855.9340333333333,2.0,-97.50500940480248,38.49343651336256,0
-435.7,-729.7,855.5916555555558,2.0,-97.5050071063832,38.49343651346042,0
-435.5,-729.7,855.2492777777778,2.0,-97.50500480796394,38.49343651355828,0
-435.3,-729.7,854.9069000000003,2.0,-97.50500250954468,38.493436513656064,0
-435.1,-729.7,854.5645222222224,2.0,-97.5050002111254,38.49343651375382,0
-434.9,-729.7,854.2221444444446,2.0,-97.50499791270613,38.493436513851556,0
-434.7,-729.7,853.8797666666667,2.0,-97.50499561428687,38.49343651394921,0
-434.5,-729.7,853.5373888888889,2.0,-97.50499331586761,38.49343651404681,0
-434.3,-729.7,853.1950111111114,2.0,-97.50499101744833,38.49343651414439,0
-434.1,-729.7,852.8526333333336,2.0,-97.50498871902907,38.49343651424192,0
-433.9,-729.7,852.5102555555558,2.0,-97.50498642060981,38.4934365143394,0
-433.7,-729.7,852.1678777777779,2.0,-97.50498412219054,38.49343651443683,0
-433.5,-729.7,851.8255000000001,2.0,-97.50498182377127,38.49343651453423,0
-433.3,-729.7,851.4831222222223,2.0,-97.50497952535201,38.49343651463158,0
-433.1,-729.7,851.1407444444446,2.0,-97.50497722693272,38.49343651472888,0
-432.9,-729.7,850.7983666666669,2.0,-97.50497492851346,38.49343651482615,0
-432.7,-729.7,850.455988888889,2.0,-97.5049726300942,38.49343651492335,0
-432.5,-729.7,850.1136111111114,2.0,-97.50497033167493,38.49343651502053,0
-432.3,-729.7,849.7712333333334,2.0,-97.50496803325566,38.493436515117644,0
-432.1,-729.7,849.4288555555556,2.0,-97.5049657348364,38.49343651521474,0
-431.9,-729.7,849.0780289023467,2.0,-97.50496343641713,38.49343651531176,0
-431.7,-729.7,848.7103027711504,2.0,-97.50496113799787,38.49343651540875,0
-431.5,-729.7,848.3425766399541,2.0,-97.5049588395786,38.4934365155057,0
-431.3,-729.7,847.9748505087578,2.0,-97.50495654115933,38.49343651560259,0
-431.1,-729.7,847.6071243775614,2.0,-97.50495424274006,38.49343651569946,0
-440.7,-729.5,851.9631666666663,2.0,-97.50506456699135,38.49343830992534,0
-440.5,-729.5,852.0374999999997,2.0,-97.50506226857203,38.49343831002432,0
-440.3,-729.5,852.1118333333332,2.0,-97.5050599701527,38.49343831012322,0
-440.1,-729.5,852.1861666666664,2.0,-97.50505767173338,38.493438310222096,0
-439.9,-729.5,852.2604999999996,2.0,-97.50505537331406,38.493438310320926,0
-439.7,-729.5,852.3348333333331,2.0,-97.50505307489473,38.4934383104197,0
-439.5,-729.5,852.4091666666666,2.0,-97.50505077647541,38.49343831051845,0
-439.3,-729.5,852.4834999999998,2.0,-97.50504847805608,38.493438310617144,0
-439.1,-729.5,852.5578333333331,2.0,-97.50504617963676,38.493438310715796,0
-438.9,-729.5,852.6321666666663,2.0,-97.50504388121743,38.49343831081439,0
-438.7,-729.5,852.7064999999998,2.0,-97.50504158279811,38.493438310912964,1
-438.5,-729.5,853.0593104477786,2.0,-97.5050392843788,38.49343831101149,1
-438.3,-729.5,853.737586268667,2.0,-97.50503698595946,38.493438311109955,1
-438.1,-729.5,854.4158620895557,2.0,-97.50503468754013,38.49343831120837,1
-437.9,-729.5,854.8601501323714,2.0,-97.50503238912081,38.49343831130677,1
-437.7,-729.5,855.070450397114,2.0,-97.50503009070148,38.493438311405086,1
-437.5,-729.5,855.2807506618566,2.0,-97.50502779228216,38.493438311503404,1
-437.3,-729.5,855.4910509265991,2.0,-97.50502549386285,38.49343831160164,1
-437.1,-729.5,855.7013511913417,2.0,-97.50502319544351,38.49343831169983,1
-436.9,-729.5,855.9116514560842,2.0,-97.5050208970242,38.493438311797995,0
-436.7,-729.5,856.1219517208267,2.0,-97.50501859860486,38.493438311896114,0
-436.5,-729.5,856.3322519855692,2.0,-97.50501630018555,38.493438311994176,0
-436.3,-729.5,856.3276111111113,2.0,-97.50501400176621,38.49343831209219,0
-436.1,-729.5,856.0043888888891,2.0,-97.5050117033469,38.49343831219017,0
-435.9,-729.5,855.6811666666665,2.0,-97.50500940492758,38.493438312288106,0
-435.7,-729.5,855.3579444444446,2.0,-97.50500710650824,38.49343831238599,0
-435.5,-729.5,855.0347222222223,2.0,-97.50500480808893,38.49343831248385,0
-435.3,-729.5,854.7115000000001,2.0,-97.5050025096696,38.49343831258164,0
-435.1,-729.5,854.388277777778,2.0,-97.50500021125026,38.493438312679395,0
-434.9,-729.5,854.0650555555555,2.0,-97.50499791283094,38.4934383127771,0
-434.7,-729.5,853.7418333333334,2.0,-97.50499561441163,38.49343831287476,0
-434.5,-729.5,853.4186111111112,2.0,-97.5049933159923,38.49343831297239,0
-434.3,-729.5,853.0953888888891,2.0,-97.50499101757298,38.493438313069966,0
-434.1,-729.5,852.7721666666667,2.0,-97.50498871915364,38.493438313167466,0
-433.9,-729.5,852.4489444444446,2.0,-97.50498642073433,38.493438313264974,0
-433.7,-729.5,852.1257222222221,2.0,-97.504984122315,38.4934383133624,0
-433.5,-729.5,851.8025,2.0,-97.50498182389568,38.4934383134598,0
-433.3,-729.5,851.4792777777777,2.0,-97.50497952547636,38.49343831355715,0
-433.1,-729.5,851.1560555555557,2.0,-97.50497722705703,38.49343831365445,0
-432.9,-729.5,850.8328333333334,2.0,-97.50497492863771,38.493438313751696,0
-432.7,-729.5,850.5096111111111,2.0,-97.50497263021838,38.4934383138489,0
-432.5,-729.5,850.186388888889,2.0,-97.50497033179904,38.493438313946065,0
-432.3,-729.5,849.8631666666666,2.0,-97.50496803337974,38.49343831404322,0
-432.1,-729.5,849.5399444444445,2.0,-97.50496573496041,38.493438314140285,0
-431.9,-729.5,849.213576364349,2.0,-97.50496343654108,38.49343831423733,0
-431.7,-729.5,848.8809159254283,2.0,-97.50496113812176,38.4934383143343,0
-431.5,-729.5,848.5482554865079,2.0,-97.50495883970243,38.493438314431245,0
-431.3,-729.5,848.2155950475872,2.0,-97.50495654128311,38.49343831452816,0
-431.1,-729.5,847.8829346086665,2.0,-97.50495424286377,38.493438314625,0
-440.7,-729.3,851.5718999999997,2.0,-97.50506456711783,38.49344010885088,0
-440.5,-729.3,851.6631666666664,2.0,-97.50506226869844,38.493440108949834,0
-440.3,-729.3,851.754433333333,2.0,-97.50505997027906,38.49344010904879,0
-440.1,-729.3,851.8456999999999,2.0,-97.50505767185969,38.49344010914764,0
-439.9,-729.3,851.9369666666664,2.0,-97.5050553734403,38.493440109246464,0
-439.7,-729.3,852.028233333333,2.0,-97.50505307502092,38.493440109345265,0
-439.5,-729.3,852.1194999999998,2.0,-97.50505077660154,38.493440109444016,0
-439.3,-729.3,852.2107666666664,2.0,-97.50504847818216,38.49344010954272,0
-439.1,-729.3,852.3020333333332,2.0,-97.50504617976279,38.49344010964134,0
-438.9,-729.3,852.3932999999997,2.0,-97.50504388134338,38.493440109739964,0
-438.7,-729.3,852.4845666666664,2.0,-97.50504158292401,38.49344010983853,1
-438.5,-729.3,852.7622287327689,2.0,-97.50503928450463,38.493440109937055,1
-438.3,-729.3,853.2577372396613,2.0,-97.50503698608524,38.49344011003552,1
-438.1,-729.3,853.7532457465537,2.0,-97.50503468766587,38.49344011013392,1
